,Department,Difficulty,Hot,Number_Ratings,Score,Tag,Take_Again,pk_id
0,Biology,3.8,0,174,3.5,Tough Grader,63%,261261
1,Business,3.8,1,169,4.2,Get ready to read,77%,335313
2,Biology,3.8,0,150,3.8,Tough Grader,65%,566286
3,Biology,3.8,1,134,4.3,Skip class You wont pass,100%,261621
4,Music,2.4,0,92,3.8,Hilarious,N/A,261242
5,Chemistry,3.9,1,91,4.3,Caring,N/A,261467
6,Accounting,3.7,0,86,3.4,Skip class You wont pass,71%,470792
7,Biology,4.3,0,85,4.5,Skip class You wont pass,90%,673272
8,Mathematics,3.1,1,78,4.2,Skip class You wont pass,67%,221339
9,Accounting,3.7,0,75,3.9,Respected,89%,651891
10,Political,3.9,0,71,2.8,Tough Grader,N/A,263423
11,Sociology,2.5,1,64,4.7,Inspirational,93%,262511
12,Chemistry,4.4,0,63,1.5,,N/A,1107537
13,Computer,4.0,0,61,3.7,LOTS OF HOMEWORK,N/A,836076
14,Management,3.4,0,60,3.5,Skip class You wont pass,N/A,651894
15,Biology,3.1,0,60,4.3,Amazing lectures,83%,1564363
16,Philosophy,3.2,0,58,3.4,Participation matters,N/A,355495
17,Engineering,3.1,0,55,2.3,LOTS OF HOMEWORK,N/A,595209
18,Accounting,2.8,0,55,4.1,GROUP PROJECTS,57%,1372569
19,Business,2.6,1,52,4.9,Gives good feedback,N/A,667824
20,Mathematics,2.9,0,51,3.5,Caring,N/A,241846
21,Management,3.5,1,49,4.8,Amazing lectures,100%,1708501
22,Physics,2.8,0,48,4.0,Caring,100%,463906
23,Economics,2.8,1,48,4.9,Respected,N/A,1858225
24,Writing,2.9,0,48,4.0,GROUP PROJECTS,N/A,999227
25,Chemistry,3.4,1,47,4.7,Gives good feedback,90%,1307411
26,Chemistry,3.3,0,47,3.9,Participation matters,71%,1769053
27,Mathematics,2.9,0,46,3.1,Clear grading criteria,N/A,258865
28,Philosophy,3.2,0,45,3.1,,N/A,135258
29,English,3.0,1,45,4.8,Amazing lectures,N/A,1014718
30,Chemistry,4.1,0,45,1.9,Tough Grader,N/A,1506364
31,Business,2.4,1,45,4.3,Skip class You wont pass,94%,1668772
32,Sociology,2.3,0,45,4.0,Tough Grader,N/A,337754
33,History,3.3,0,44,3.5,LECTURE HEAVY,N/A,251394
34,Sociology,2.0,0,44,3.6,Inspirational,N/A,261244
35,Computer,3.4,0,44,4.1,LOTS OF HOMEWORK,N/A,261463
36,Finance,3.3,1,44,4.3,Inspirational,60%,551314
37,Sociology,3.4,0,43,3.4,Get ready to read,N/A,261068
38,Anthropology,4.4,0,41,2.8,Tough Grader,N/A,251402
39,Chemistry,3.2,0,41,3.2,Hilarious,29%,522657
40,English,2.5,1,39,4.8,Caring,N/A,190955
41,Chemistry,2.5,0,38,3.2,,N/A,268145
42,History,2.4,0,38,3.9,Amazing lectures,86%,682449
43,Mathematics,4.1,0,38,2.5,Participation matters,N/A,1130473
44,Political,4.0,0,38,3.0,Get ready to read,40%,890925
45,Chemistry,3.1,1,37,4.7,Respected,N/A,1739091
46,Political,3.1,0,35,3.7,Inspirational,N/A,257362
47,Computer,3.6,0,34,4.0,LOTS OF HOMEWORK,100%,710755
48,Physics,4.6,0,34,2.4,Tough Grader,N/A,780624
49,Biology,3.7,0,34,3.4,Tough Grader,36%,261172
50,Physics,1.7,1,33,4.5,Respected,N/A,255773
51,Mathematics,3.0,0,33,2.6,LOTS OF HOMEWORK,N/A,261313
52,Finance,3.5,1,32,3.5,Tough Grader,N/A,221334
53,Finance,3.2,0,32,2.5,LECTURE HEAVY,11%,247117
54,Physics,4.2,0,32,2.3,Skip class You wont pass,N/A,1027004
55,Mathematics,2.1,1,32,4.8,Caring,100%,1800203
56,Business,1.9,1,32,4.8,Hilarious,100%,2015028
57,Mathematics,3.9,0,31,2.5,Get ready to read,N/A,157093
58,Economics,2.1,1,31,4.7,Participation matters,N/A,221333
59,Chemistry,3.6,0,31,2.6,LECTURE HEAVY,N/A,752147
60,Psychology,2.7,0,31,3.3,LOTS OF HOMEWORK,N/A,1073215
61,Psychology,1.7,0,31,3.9,Get ready to read,N/A,1665135
62,English,4.2,0,30,2.7,Get ready to read,N/A,134015
63,Political,3.2,0,30,4.3,Get ready to read,N/A,163606
64,Anthropology,3.8,0,30,2.3,Get ready to read,N/A,269812
65,Humanities,1.3,0,30,4.5,LECTURE HEAVY,83%,274693
66,Chemistry,4.6,1,30,2.5,Get ready to read,N/A,549490
67,Biology,4.5,0,30,2.3,Tough Grader,N/A,631542
68,English,4.6,0,30,2.9,Tough Grader,N/A,829667
69,Music,1.6,0,30,4.5,EXTRA CREDIT,N/A,1349134
70,Business,2.7,0,30,3.0,LECTURE HEAVY,N/A,1675887
71,Chemistry,4.0,0,30,2.0,Skip class You wont pass,N/A,1802808
72,Film,2.9,1,29,4.4,Gives good feedback,N/A,425647
73,English,2.7,0,29,4.2,Gives good feedback,N/A,1058310
74,Finance,3.6,0,29,3.3,Skip class You wont pass,N/A,1167362
